#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
1137.305367,226,10.540306
1123.498276,300,28.653092
1957.859328,300,46.058189
992.888951,300,64.267055
806.546756,226,77.773701
849.776524,226,91.040292
1316.309221,300,109.172083
2427.57302,300,125.769092
949.425736,226,138.791391
2772.835917,300,155.660328
1008.629441,226,169.215339
2980.666952,300,186.037728
1408.562401,300,204.173715
1452.929227,300,221.941334
3262.444479,300,239.207299
3294.576998,300,256.23805
3416.011869,300,273.256634
1473.699906,226,286.463767
1553.390062,226,299.238427
1531.761672,226,312.492411
1678.841782,226,325.490057
2166.032534,300,344.267507
2658.841115,300,375.589726
2303.720702,226,399.426012
2524.506576,226,423.31092
2626.761133,226,446.705505
2700.811816,226,469.211914
-6.077636,10,470.225258
3544.780525,300,500.620744
2725.527072,226,524.10684
3516.406326,300,553.883952
3544.794845,300,584.042794
2725.927122,226,606.532945
3905.339147,300,637.114623
3942.874715,300,668.785047
2743.652816,226,692.38794
3549.995108,300,723.151353
3990.078924,300,754.247674
3536.522483,300,784.850587
3990.056942,300,815.712792
3558.44855,300,846.331019
3565.982083,300,883.178383
4006.887347,300,921.575359
3576.462424,300,959.603609
2767.498687,226,988.572978
4009.372899,300,1027.429679
2751.992083,226,1056.415157
3586.052575,300,1093.538881
3582.769464,300,1132.368051
4033.110441,300,1170.450114
3596.162527,300,1208.731564
3608.067042,300,1247.111808
3597.783125,300,1284.362309
2774.74219,226,1313.133881
2772.282414,226,1342.472608
2774.54754,226,1371.550861
2781.715104,226,1400.632423
2783.845955,226,1429.106225
3637.427295,300,1466.135417
2812.080064,226,1495.13484
3622.717816,300,1533.752411
2797.096077,226,1562.613471
2807.598229,226,1591.64078
2805.764684,226,1620.379248
3629.601054,300,1658.593842
3614.396199,300,1696.056913
2791.893302,226,1725.136675
4029.476741,300,1764.349792
3609.123004,300,1802.874842
2774.330973,226,1831.846367
4019.084836,300,1869.867064
2791.401996,226,1898.782858
4013.340547,300,1938.346284
2766.460647,226,1967.178849
2781.627319,226,1996.263484
4044.405824,300,2035.332625
3615.157316,300,2072.979595
4033.548959,300,2111.82496
4018.232943,300,2151.15295
3618.08975,300,2189.700747
2771.978238,226,2218.563287
2762.832376,226,2248.184922
4048.349302,300,2285.935933
4062.069862,300,2324.549975
4063.052874,300,2363.091112
4059.176085,300,2401.942019
3617.230286,300,2440.61455
3599.850182,300,2478.672982
4048.484152,300,2517.499959
2772.507594,226,2546.832378
2789.778077,226,2575.407626
2783.212367,226,2604.776668
2789.087698,226,2633.936771
4054.457736,300,2672.040466
3616.037322,300,2710.670747
2779.203468,226,2739.881522
4051.607191,300,2778.785229
3610.946708,300,2817.415038
3617.227086,300,2855.457649
3612.957322,300,2893.26621
2772.74196,226,2922.387639
4046.903203,300,2960.950722
2786.859553,226,2990.272912
4045.498138,300,3029.458885
2777.906425,226,3058.251299
2790.210135,226,3086.10895
3604.065938,300,3125.0753
4067.549529,300,3164.147361
2790.644691,226,3192.875893
3621.596375,300,3231.187534
4048.534523,300,3268.920631
4047.218082,300,3307.741602
4046.524769,300,3346.784963
4042.713117,300,3385.527489
4038.4896,300,3424.27565
4066.168935,300,3463.306409
3637.585909,300,3500.670029
4056.062778,300,3540.070531
2806.86606,226,3569.106134
3641.196069,300,3607.741067
2809.121786,226,3636.821731
3626.995018,300,3674.47564
4063.439224,300,3713.214282
3631.607763,300,3751.796797
3629.842369,300,3790.75802
3636.350364,300,3829.855311
4067.829591,300,3867.880352
3620.986331,300,3906.425811
3635.207777,300,3945.094641
3617.113714,300,3983.690588
4064.003413,300,4022.719793
2800.296943,226,4052.000739
3621.106642,300,4089.616681
3625.348078,300,4128.710477
2808.364322,226,4158.150421
2805.579464,226,4186.810434
4070.195257,300,4225.859952
