w_velocity,w_safety,w_comfort,total_energy,energy_per_km,distance_km,rms_jerk,min_thw,avg_thw,avg_velocity,avg_lead_velocity,collision
0.05,0.05,0.9,1750.201936739653,110.01612193738264,15.908594131469727,0.01045122937031364,6.375043869018555,13.361163139343262,20.794187545776367,20.9224796295166,False
0.05,0.135,0.815,1799.1409345324837,112.32174314352305,16.017742156982422,0.08037992769057561,1.5455892086029053,6.455136299133301,20.93685531616211,20.9224796295166,False
0.05,0.22,0.73,1816.9452273136494,113.46009711588914,16.01395606994629,0.06961613885212059,1.9424337148666382,4.678390026092529,20.931907653808594,20.9224796295166,False
0.05,0.305,0.645,1809.186523792577,112.97975886538924,16.01336669921875,0.050327771881648796,2.0204474925994873,3.8077199459075928,20.931135177612305,20.9224796295166,False
0.05,0.39,0.56,1802.414831153975,112.55901309923237,16.013063430786133,0.03962380343690703,2.0435256958007812,3.2925190925598145,20.930740356445312,20.9224796295166,False
0.05,0.475,0.475,1798.2038604904947,112.29731288674957,16.012882232666016,0.039073907051489117,2.0554018020629883,2.9507195949554443,20.930505752563477,20.9224796295166,False
0.05,0.56,0.39,1795.2191562139255,112.11172020510595,16.012767791748047,0.044732152087633016,2.0679471492767334,2.7051453590393066,20.930355072021484,20.9224796295166,False
0.05,0.645,0.305,1794.025105700404,112.03791224431701,16.012659072875977,0.05896661766363899,2.083852529525757,2.5259716510772705,20.930212020874023,20.9224796295166,False
0.05,0.73,0.22,1792.8313117532718,111.96439937550974,16.012510299682617,0.0792601191755373,2.094650983810425,2.385362386703491,20.930017471313477,20.9224796295166,False
0.05,0.815,0.135,1790.6512136195015,111.83004801602819,16.012252807617188,0.11216042216511837,2.111816883087158,2.273674488067627,20.9296817779541,20.9224796295166,False
0.05,0.9,0.05,1787.2095327960624,111.62453480835168,16.010900497436523,0.0701899724016726,2.085693120956421,2.21042537689209,20.927915573120117,20.9224796295166,False
0.135,0.05,0.815,1718.318025135054,108.30672130595201,15.865293502807617,0.025036278111620933,5.79833459854126,11.075835227966309,20.737590789794922,20.9224796295166,False
0.135,0.135,0.73,1756.3737533945075,109.71236037861034,16.008893966674805,0.057058921663425834,1.8331753015518188,5.490990161895752,20.925291061401367,20.9224796295166,False
0.135,0.22,0.645,1777.9146638477316,111.02278667461174,16.013959884643555,0.06386190821143845,2.0501444339752197,4.070389747619629,20.93191146850586,20.9224796295166,False
0.135,0.305,0.56,1784.8673842822109,111.46144001440659,16.013315200805664,0.061605834346362805,2.10312557220459,3.4104952812194824,20.93107032775879,20.9224796295166,False
0.135,0.39,0.475,1786.2741148826462,111.55134702890236,16.013019561767578,0.06540906597922584,2.1082003116607666,3.0212562084198,20.93068504333496,20.9224796295166,False
0.135,0.475,0.39,1787.069959736427,111.6022565662934,16.012845993041992,0.07414692865452413,2.111088514328003,2.7595300674438477,20.930458068847656,20.9224796295166,False
0.135,0.56,0.305,1788.0779660093497,111.666057670871,16.012723922729492,0.087776560818016,2.1151559352874756,2.574148178100586,20.930295944213867,20.9224796295166,False
0.135,0.645,0.22,1788.6924217864798,111.70553501407888,16.01256561279297,0.1093250328935542,2.114036798477173,2.4403669834136963,20.930089950561523,20.9224796295166,False
0.135,0.73,0.135,1788.4048516234288,111.69006384125144,16.012208938598633,0.1042491121719704,2.091313123703003,2.3459324836730957,20.929622650146484,20.9224796295166,False
0.135,0.815,0.05,1786.79113994468,111.59924062157663,16.010780334472656,0.08377496962546148,2.0660386085510254,2.275402784347534,20.927757263183594,20.9224796295166,False
0.22,0.05,0.73,1705.957957041987,107.80301766605706,15.824769020080566,0.0424460824298386,2.333984613418579,9.927141189575195,20.684619903564453,20.9224796295166,False
0.22,0.135,0.645,1746.8368062241088,109.29874114733808,15.982221603393555,0.05313012709974833,2.6349713802337646,5.210923194885254,20.89042854309082,20.9224796295166,False
0.22,0.22,0.56,1760.3974859775503,109.95848980579387,16.009653091430664,0.07315648243292128,2.1467738151550293,3.8936800956726074,20.92628288269043,20.9224796295166,False
0.22,0.305,0.475,1774.8708009751958,110.84310108688865,16.01245880126953,0.08444919887418738,2.1205947399139404,3.298306703567505,20.929948806762695,20.9224796295166,False
0.22,0.39,0.39,1780.7782368453625,111.21108796766316,16.01259422302246,0.09400702982879082,2.1161227226257324,2.9526305198669434,20.930126190185547,20.9224796295166,False
0.22,0.475,0.305,1783.7427826389794,111.39700920569587,16.012481689453125,0.1086432252112686,2.107206344604492,2.72232723236084,20.92997932434082,20.9224796295166,False
0.22,0.56,0.22,1785.3118533402703,111.49688558645887,16.012210845947266,0.11532868361598585,2.0915110111236572,2.561992883682251,20.92962646484375,20.9224796295166,False
0.22,0.645,0.135,1785.893620170383,111.53809432918058,16.011510848999023,0.08822482533827383,2.07399320602417,2.4475979804992676,20.9287109375,20.9224796295166,False
0.22,0.73,0.05,1785.3377826714323,111.51587986866343,16.009716033935547,0.09439247561757033,2.0604941844940186,2.352844476699829,20.92636489868164,20.9224796295166,False
0.305,0.05,0.645,1701.66404497607,107.72185434755491,15.796831130981445,0.06296879764739052,1.6702460050582886,9.129239082336426,20.648103713989258,20.9224796295166,False
0.305,0.135,0.56,1744.9575140809281,109.32644863593372,15.960981369018555,0.07662136316523349,2.110938310623169,5.1056294441223145,20.86266326904297,20.9224796295166,False
0.305,0.22,0.475,1758.5666559790513,109.94912084147808,15.994366645812988,0.08968989835919661,2.1101081371307373,3.870980739593506,20.906301498413086,20.9224796295166,False
0.305,0.305,0.39,1769.7036787558675,110.56793948084287,16.00557518005371,0.10657819953349873,2.1027512550354004,3.292290687561035,20.92095375061035,20.9224796295166,False
0.305,0.39,0.305,1777.219329282563,111.0142071426431,16.008934020996094,0.11955215505568827,2.091176748275757,2.953023910522461,20.925344467163086,20.9224796295166,False
0.305,0.475,0.22,1780.8461113430724,111.23680508424067,16.009502410888672,0.10927878823978583,2.078091621398926,2.733776569366455,20.92608642578125,20.9224796295166,False
0.305,0.56,0.135,1782.682502410406,111.35558427711334,16.0089168548584,0.08296361356871872,2.068420171737671,2.5775516033172607,20.92531967163086,20.9224796295166,False
0.305,0.645,0.05,1783.295260727392,111.40437258161734,16.00740623474121,0.09802840827672776,2.0582096576690674,2.4455316066741943,20.9233455657959,20.9224796295166,False
0.39,0.05,0.56,1701.7824653351156,107.84586788290966,15.779764175415039,0.08397208390898019,1.2017016410827637,8.588504791259766,20.625795364379883,20.9224796295166,False
0.39,0.135,0.475,1744.738218177185,109.42861532365914,15.944075584411621,0.10018012856425056,2.097907304763794,5.062376976013184,20.840566635131836,20.9224796295166,False
0.39,0.22,0.39,1758.0055819647362,110.002659723646,15.981481552124023,0.1150558852234539,2.0900802612304688,3.873000144958496,20.88945960998535,20.9224796295166,False
0.39,0.305,0.305,1766.955734823367,110.46933489757977,15.994987487792969,0.11492272279163464,2.0803921222686768,3.310119390487671,20.907114028930664,20.9224796295166,False
